week,team_id,team_name,score,season
10,7,Talladega Knights,99.64,2022
10,4,Simps Squad,104.98,2022
10,9,Lambeau Leapers,95.7,2022
10,5,The Roethlisberger's,101.8,2022
10,6,The Cousin Lovers,92.2,2022
10,8,Jackson's Team,156.64,2022
10,10,Starting Defense,98.34,2022
11,1,Hingle McCringlebery,95.5,2022
11,6,The Cousin Lovers,110.84,2022
11,2,Joe Buck Yourself,123.22,2022
11,9,Lambeau Leapers,142.46,2022
11,3,Brokaw's Bums,130.42,2022
11,8,Jackson's Team,108.76,2022
11,4,Simps Squad,120.44,2022
11,10,Starting Defense,115.46,2022
11,5,The Roethlisberger's,114.78,2022
11,7,Talladega Knights,138.5,2022
12,1,Hingle McCringlebery,146.6,2022
12,7,Talladega Knights,101.6,2022
12,2,Joe Buck Yourself,124.02,2022
12,4,Simps Squad,122.04,2022
12,3,Brokaw's Bums,130.44,2022
12,10,Starting Defense,115.96,2022
12,5,The Roethlisberger's,144.32,2022
12,8,Jackson's Team,101.8,2022
12,6,The Cousin Lovers,86.44,2022
12,9,Lambeau Leapers,147.82,2022
13,1,Hingle McCringlebery,120.02,2022
13,8,Jackson's Team,107.62,2022
13,2,Joe Buck Yourself,108.96,2022
13,10,Starting Defense,119.94,2022
13,3,Brokaw's Bums,115.24,2022
13,5,The Roethlisberger's,106.52,2022
13,4,Simps Squad,154.9,2022
13,6,The Cousin Lovers,94.8,2022
13,7,Talladega Knights,144.44,2022
13,9,Lambeau Leapers,130.3,2022
14,1,Hingle McCringlebery,113.4,2022
14,3,Brokaw's Bums,113.66,2022
14,2,Joe Buck Yourself,117.06,2022
14,6,The Cousin Lovers,105.18,2022
14,4,Simps Squad,94.96,2022
14,7,Talladega Knights,84.36,2022
14,5,The Roethlisberger's,126.58,2022
14,10,Starting Defense,124.02,2022
14,8,Jackson's Team,111.08,2022
14,9,Lambeau Leapers,122.18,2022
15,3,Brokaw's Bums,103.08,2022
15,4,Simps Squad,115.44,2022
15,9,Lambeau Leapers,140.0,2022
15,10,Starting Defense,142.62,2022
16,4,Simps Squad,142.36,2022
16,5,The Roethlisberger's,112.68,2022
16,7,Talladega Knights,102.0,2022
16,10,Starting Defense,148.26,2022
16,1,Hingle McCringlebery,171.46,2022
16,8,Jackson's Team,119.26,2022
